"NOMBRE","TIPO","DIRECCION","CLAUSURADO","ACTA","origin","DIRECCION.CLEAN","regexp","calle","numero"
NA,NA,"Guemes N° 3140 PB. y 1º piso",NA,"4-302231","D1","guemes 3140 pb y 1o piso","^([a-z ]*)([0-9]+)","guemes  pb y 1o piso","3140 pb y 1o piso"
NA,NA,"Chile Nº 356, PB, 1º y 2º Piso",NA,"4-254699","D1","chile no 356 pb 1o y 2o piso","^([a-z ]*)([0-9]+)","chile no  pb 1o y 2o piso","356 pb 1o y 2o piso"
NA,NA,"Ángel Justiniano Carranza Nº 1979, PB",NA,"4-273236","D1","angel justiniano carranza no 1979 pb","^([a-z ]*)([0-9]+)","angel justiniano carranza no  pb","1979 pb"
NA,NA,"Estados Unidos Nº 1160 PB. y EP.,",NA,"4-303405,4-303406","D1","estados unidos no 1160 pb y ep","^([a-z ]*)([0-9]+)","estados unidos no  pb y ep","1160 pb y ep"
NA,NA,"Fitz Roy N° 1995 PB",NA,"4-266826,4-266827,4-254150","D1","fitz roy 1995 pb","^([a-z ]*)([0-9]+)","fitz roy  pb","1995 pb"
NA,NA,"Av. Rivadavia N° 7428 PB/1° PISO.,",NA,"4-272595","D1","av rivadavia 7428 pb/1 piso","^([a-z ]*)([0-9]+)","av rivadavia  pb/1 piso","7428 pb/1 piso"
NA,NA,"Gorriti N° 5516 PB..,",NA,"4-238049","D1","gorriti 5516 pb","^([a-z ]*)([0-9]+)","gorriti  pb","5516 pb"
NA,NA,"CNEL. Niceto Vega N° 5646 PB. y PA. –unidad funcional Nº 2-.,",NA,"4-302786,4-302787","D1","cnel niceto vega 5646 pb y pa -unidad funcional no 2-","^([a-z ]*)([0-9]+)","cnel niceto vega  pb y pa -unidad funcional no 2-","5646 pb y pa -unidad funcional no 2-"
NA,NA,"Av. Directorio 5972 PB, Oliden 2018/94 y Pasaje Chicoana 2087",NA,"4-289654,4-289653,4-303390","D1","av directorio 5972 pb oliden 2018/94 y pasaje chicoana 2087","^([a-z ]*)([0-9]+)","av directorio  pb oliden 2018/94 y pasaje chicoana 2087","5972 pb oliden 2018/94 y pasaje chicoana 2087"
NA,NA,"Cnel. Ramón L. Falcón N° 2276 PB",NA,"4-301695,4-301987,4-301696","D1","cnel ramon l falcon 2276 pb","^([a-z ]*)([0-9]+)","cnel ramon l falcon  pb","2276 pb"
NA,NA,"Montevideo N° 421, 1° piso",NA,"4-48894","D1","montevideo 421 1 piso","^([a-z ]*)([0-9]+)","montevideo  1 piso","421 1 piso"
NA,NA,"AV. GRAL. Mosconi Nº 2746 PB UF 1",NA,"4-303837","D1","av gral mosconi no 2746 pb uf 1","^([a-z ]*)([0-9]+)","av gral mosconi no  pb uf 1","2746 pb uf 1"
NA,NA,"Av. Rivadavia N° 8132 PB/EP.,",NA,"4-313701,4-301700","D1","av rivadavia 8132 pb/ep","^([a-z ]*)([0-9]+)","av rivadavia  pb/ep","8132 pb/ep"
NA,NA,"Moreto N° 1757/59/63/67 PB y PA UF 1.,",NA,"4-289023","D1","moreto 1757/59/63/67 pb y pa uf 1","^([a-z ]*)([0-9]+)","moreto /59/63/67 pb y pa uf 1","1757/59/63/67 pb y pa uf 1"
NA,NA,"Av. Callao N° 1465 PB – UF 1.,",NA,"4-301885","D1","av callao 1465 pb - uf 1","^([a-z ]*)([0-9]+)","av callao  pb - uf 1","1465 pb - uf 1"
NA,NA,"AV. José M. Ramos Mejía Nº 1680 1º PISO LOCAL GR 10.,",NA,"4-303840","D1","av jose m ramos mejia no 1680 1o piso local gr 10","^([a-z ]*)([0-9]+)","av jose m ramos mejia no  1o piso local gr 10","1680 1o piso local gr 10"
NA,NA,"Santa Elena Nº 464/68/72/78/80, PB",NA,"4-288393,4-289769","D1","santa elena no 464/68/72/78/80 pb","^([a-z ]*)([0-9]+)","santa elena no /68/72/78/80 pb","464/68/72/78/80 pb"
NA,NA,"Av. Cabildo N° 2577 PB",NA,"4-302497","D1","av cabildo 2577 pb","^([a-z ]*)([0-9]+)","av cabildo  pb","2577 pb"
NA,NA,"AV. Antártida Argentina y calle Nº 10 –t.óRetiro-, 1º p-sec D loc 91/110 uf",NA,"4-303841","D1","av antartida argentina y calle no 10 -toretiro- 1o p-sec d loc 91/110 uf","^([a-z ]*)([0-9]+)","av antartida argentina y calle no  -toretiro- 1o p-sec d loc 91/110 uf","10 -toretiro- 1o p-sec d loc 91/110 uf"
NA,NA,"AV. José M. Ramos Mejía 1680 1° piso, local GR 2.,",NA,"4-303838","D1","av jose m ramos mejia 1680 1 piso local gr 2","^([a-z ]*)([0-9]+)","av jose m ramos mejia  1 piso local gr 2","1680 1 piso local gr 2"
NA,NA,"José A. Cabrera N° 4366/68 PB/EP",NA,"4-313538","D1","jose a cabrera 4366/68 pb/ep","^([a-z ]*)([0-9]+)","jose a cabrera /68 pb/ep","4366/68 pb/ep"
NA,NA,"Guaraní Nº 12 PB. y EP.,",NA,"4-289075","D1","guarani no 12 pb y ep","^([a-z ]*)([0-9]+)","guarani no  pb y ep","12 pb y ep"
NA,NA,"Av. Rivadavia Nº 6476/78 PB/PA",NA,"4-289680,4-289681","D1","av rivadavia no 6476/78 pb/pa","^([a-z ]*)([0-9]+)","av rivadavia no /78 pb/pa","6476/78 pb/pa"
NA,NA,"Malabia 1151 – Lerma 451 PB, 1°y 2° Piso",NA,"4-313282","D1","malabia 1151 - lerma 451 pb 1y 2 piso","^([a-z ]*)([0-9]+)","malabia  - lerma 451 pb 1y 2 piso","1151 - lerma 451 pb 1y 2 piso"
NA,NA,"Zuviría N° 5872, PB, EPs y PA",NA,"4-303391,4-303392,4-303393","D1","zuviria 5872 pb eps y pa","^([a-z ]*)([0-9]+)","zuviria  pb eps y pa","5872 pb eps y pa"
NA,NA,"Montañeses N° 2033 PB",NA,"4-302496,4-288419,4-288420","D1","montaneses 2033 pb","^([a-z ]*)([0-9]+)","montaneses  pb","2033 pb"
NA,NA,"Paraguay N° 5099 PB-EP-1° Piso",NA,"4-256371","D1","paraguay 5099 pb-ep-1 piso","^([a-z ]*)([0-9]+)","paraguay  pb-ep-1 piso","5099 pb-ep-1 piso"
NA,NA,"Pte. Perón 2402 PB, EP y Subsuelo (UF/Local 4).,",NA,"4-289896","D1","pte peron 2402 pb ep y subsuelo (uf/local 4)","^([a-z ]*)([0-9]+)","pte peron  pb ep y subsuelo (uf/local 4)","2402 pb ep y subsuelo (uf/local 4)"
NA,NA,"AV. Díaz Vélez Nº 5590/5600 y Honorio Pueyrredón Nº 1063, PB y PA",NA,"4-267807","D1","av diaz velez no 5590/5600 y honorio pueyrredon no 1063 pb y pa","^([a-z ]*)([0-9]+)","av diaz velez no /5600 y honorio pueyrredon no 1063 pb y pa","5590/5600 y honorio pueyrredon no 1063 pb y pa"
NA,NA,"AV. Elcano Nº 3285, PB, UF 1.,",NA,"4-288421","D1","av elcano no 3285 pb uf 1","^([a-z ]*)([0-9]+)","av elcano no  pb uf 1","3285 pb uf 1"
NA,NA,"Pehuajo Nº 947 PB/PA.,",NA,"4-303630","D1","pehuajo no 947 pb/pa","^([a-z ]*)([0-9]+)","pehuajo no  pb/pa","947 pb/pa"
NA,NA,"Zapiola Nº 1788 PB",NA,"4-288422","D1","zapiola no 1788 pb","^([a-z ]*)([0-9]+)","zapiola no  pb","1788 pb"
NA,NA,"Olazábal N° 2465 PB y PA",NA,"4-301099,4-301098,4-301100","D1","olazabal 2465 pb y pa","^([a-z ]*)([0-9]+)","olazabal  pb y pa","2465 pb y pa"
NA,NA,"Francisco Acuña de Figueroa N° 1042 Piso 2° contrafrente",NA,"4-313539","D1","francisco acuna de figueroa 1042 piso 2 contrafrente","^([a-z ]*)([0-9]+)","francisco acuna de figueroa  piso 2 contrafrente","1042 piso 2 contrafrente"
NA,NA,"Rep. Bolivariana de Venezuela N° 884 PB, PA",NA,"4-288110,4-313806","D1","rep bolivariana de venezuela 884 pb pa","^([a-z ]*)([0-9]+)","rep bolivariana de venezuela  pb pa","884 pb pa"
NA,NA,"La Rioja N° 444 PB",NA,"4-288622","D1","la rioja 444 pb","^([a-z ]*)([0-9]+)","la rioja  pb","444 pb"
NA,NA,"Av. Corrientes N° 2224 PB, 1°, 2° piso UF 1.,",NA,"4-302154,4-302156,4-302155","D1","av corrientes 2224 pb 1 2 piso uf 1","^([a-z ]*)([0-9]+)","av corrientes  pb 1 2 piso uf 1","2224 pb 1 2 piso uf 1"
NA,NA,"Grito de Asencio N° 3536/38 PB.",NA,"4-303864,4-303865,4-301369","D1","grito de asencio 3536/38 pb","^([a-z ]*)([0-9]+)","grito de asencio /38 pb","3536/38 pb"
NA,NA,"José G. Artigas Nº 2052 PB/2º PISO",NA,"4-314103,4-314102,4-314101","D1","jose g artigas no 2052 pb/2o piso","^([a-z ]*)([0-9]+)","jose g artigas no  pb/2o piso","2052 pb/2o piso"
NA,NA,"AV. Federico Lacroze Nº 2963 PB. y 1º piso",NA,"4-273238","D1","av federico lacroze no 2963 pb y 1o piso","^([a-z ]*)([0-9]+)","av federico lacroze no  pb y 1o piso","2963 pb y 1o piso"
NA,NA,"Humberto 1° N° 1462, PB y 1° piso",NA,"4-288190","D1","humberto 1 1462 pb y 1 piso","^([a-z ]*)([0-9]+)","humberto  1462 pb y 1 piso","1 1462 pb y 1 piso"
NA,NA,"Av. Pedro Goyena N° 323 PB.,",NA,"4-288423","D1","av pedro goyena 323 pb","^([a-z ]*)([0-9]+)","av pedro goyena  pb","323 pb"
NA,NA,"Av. Corrientes N° 2493 PB/SS",NA,"4-289845","D1","av corrientes 2493 pb/ss","^([a-z ]*)([0-9]+)","av corrientes  pb/ss","2493 pb/ss"
NA,NA,"Beláustegui N° 4495 PB.,",NA,"4-313507","D1","belaustegui 4495 pb","^([a-z ]*)([0-9]+)","belaustegui  pb","4495 pb"
NA,NA,"Zapata Nº 416/20, PB",NA,"4-314106,4-314405,4-314104","D1","zapata no 416/20 pb","^([a-z ]*)([0-9]+)","zapata no /20 pb","416/20 pb"
NA,NA,"Av. San Juan 4041/43 PB",NA,"4-288424","D1","av san juan 4041/43 pb","^([a-z ]*)([0-9]+)","av san juan /43 pb","4041/43 pb"
NA,NA,"AV. Eva Perón Nº 4640 e/4638 y 4648 y Mozart Nº 1831 PB. y EP.,",NA,"4-272922,4-303210","D1","av eva peron no 4640 e/4638 y 4648 y mozart no 1831 pb y ep","^([a-z ]*)([0-9]+)","av eva peron no  e/4638 y 4648 y mozart no 1831 pb y ep","4640 e/4638 y 4648 y mozart no 1831 pb y ep"
NA,NA,"Bacacay Nº 5070 PB FONDO.,",NA,"4-302598,4-302599","D1","bacacay no 5070 pb fondo","^([a-z ]*)([0-9]+)","bacacay no  pb fondo","5070 pb fondo"
NA,NA,"Av. San Martin N° 2251 PB",NA,"4-302090","D1","av san martin 2251 pb","^([a-z ]*)([0-9]+)","av san martin  pb","2251 pb"
NA,NA,"Godoy Cruz N° 2633/37 SS., PB., , 1º piso y azotea",NA,"4-302525,4-313651,4-313652,4-313355,4-313356","D1","godoy cruz 2633/37 ss pb 1o piso y azotea","^([a-z ]*)([0-9]+)","godoy cruz /37 ss pb 1o piso y azotea","2633/37 ss pb 1o piso y azotea"
NA,NA,"Av. Eva Perón 7228 PB y PA (José León Suárez 3319",NA,"4-303979,4-303978,4-288395","D1","av eva peron 7228 pb y pa (jose leon suarez 3319","^([a-z ]*)([0-9]+)","av eva peron  pb y pa (jose leon suarez 3319","7228 pb y pa (jose leon suarez 3319"
NA,NA,"Pasteur Nº 277 –local Nº 11 y 12- SS",NA,"4-302159,4-302160","D1","pasteur no 277 -local no 11 y 12- ss","^([a-z ]*)([0-9]+)","pasteur no  -local no 11 y 12- ss","277 -local no 11 y 12- ss"
NA,NA,"Pasteur Nº 277 SS, Local 14 y 15 unificados",NA,"4-302346,4-302347","D1","pasteur no 277 ss local 14 y 15 unificados","^([a-z ]*)([0-9]+)","pasteur no  ss local 14 y 15 unificados","277 ss local 14 y 15 unificados"
NA,NA,"Av. Nazca N° 5302 PB",NA,"4-302556","D1","av nazca 5302 pb","^([a-z ]*)([0-9]+)","av nazca  pb","5302 pb"
NA,NA,"AV. Manuel Montes de Oca Nº 886 1°, EP, 2°Piso",NA,"4-302144,4-302145,4-302146,4-302147,4-302149","D1","av manuel montes de oca no 886 1 ep 2piso","^([a-z ]*)([0-9]+)","av manuel montes de oca no  1 ep 2piso","886 1 ep 2piso"
NA,NA,"Maipú Nº 652 PB/PA.,",NA,"4-302464","D1","maipu no 652 pb/pa","^([a-z ]*)([0-9]+)","maipu no  pb/pa","652 pb/pa"
NA,NA,"Av. Directorio Nº 2400 PB.,",NA,"4-265667","D1","av directorio no 2400 pb","^([a-z ]*)([0-9]+)","av directorio no  pb","2400 pb"
NA,NA,"Pasteur Nº 277 Subsuelo, Local 27",NA,"4-301887,4-302162","D1","pasteur no 277 subsuelo local 27","^([a-z ]*)([0-9]+)","pasteur no  subsuelo local 27","277 subsuelo local 27"
NA,NA,"Pasteur Nº 277 PISO 1º -local a la izqa del local 56 lindero a escalera descendente",NA,"4-314286,4-314284,4-314285,4-314283","D1","pasteur no 277 piso 1o -local a la izqa del local 56 lindero a escalera descendente","^([a-z ]*)([0-9]+)","pasteur no  piso 1o -local a la izqa del local 56 lindero a escalera descendente","277 piso 1o -local a la izqa del local 56 lindero a escalera descendente"
NA,NA,"Av. Rivadavia N° 4975 (y Ambrosetti 78/80) PB, local 21.,",NA,"4-288364","D1","av rivadavia 4975 (y ambrosetti 78/80) pb local 21","^([a-z ]*)([0-9]+)","av rivadavia  (y ambrosetti 78/80) pb local 21","4975 (y ambrosetti 78/80) pb local 21"
NA,NA,"AV. San Martín Nº 2751 PB., PA. y sótano",NA,"4-302089","D1","av san martin no 2751 pb pa y sotano","^([a-z ]*)([0-9]+)","av san martin no  pb pa y sotano","2751 pb pa y sotano"
NA,NA,"Pasteur Nº 277 PB, Local 23",NA,"4-314029,4-314030","D1","pasteur no 277 pb local 23","^([a-z ]*)([0-9]+)","pasteur no  pb local 23","277 pb local 23"
NA,NA,"Pasteur Nº 277 –local Nº 6- SS.,",NA,"4-302158,4-302157","D1","pasteur no 277 -local no 6- ss","^([a-z ]*)([0-9]+)","pasteur no  -local no 6- ss","277 -local no 6- ss"
NA,NA,"Thames N° 1163 PB y EP.,",NA,"4-302050","D1","thames 1163 pb y ep","^([a-z ]*)([0-9]+)","thames  pb y ep","1163 pb y ep"
NA,NA,"Pasteur Nº 277 EP, Local 31",NA,"4-314281,4-314282","D1","pasteur no 277 ep local 31","^([a-z ]*)([0-9]+)","pasteur no  ep local 31","277 ep local 31"
NA,NA,"Pasteur Nº 277 PB, Local 26",NA,"4-302345,4-302344","D1","pasteur no 277 pb local 26","^([a-z ]*)([0-9]+)","pasteur no  pb local 26","277 pb local 26"
NA,NA,"Pasteur Nº 277 1° piso, Local 56",NA,"4-302873,4-302874","D1","pasteur no 277 1 piso local 56","^([a-z ]*)([0-9]+)","pasteur no  1 piso local 56","277 1 piso local 56"
NA,NA,"Bahía Blanca N° 2658 PB y PA.,",NA,"4-272339,4-272340","D1","bahia blanca 2658 pb y pa","^([a-z ]*)([0-9]+)","bahia blanca  pb y pa","2658 pb y pa"
NA,NA,"Av. San Pedrito Nº 552/56 PB.,",NA,"4-265669","D1","av san pedrito no 552/56 pb","^([a-z ]*)([0-9]+)","av san pedrito no /56 pb","552/56 pb"
NA,NA,"Río de Janeiro 844 PB.,",NA,"4-303872,4-313286,4-313285","D1","rio de janeiro 844 pb","^([a-z ]*)([0-9]+)","rio de janeiro  pb","844 pb"
NA,NA,"Bonpland Nº 1355/57 PB. y EP",NA,"4-313541","D1","bonpland no 1355/57 pb y ep","^([a-z ]*)([0-9]+)","bonpland no /57 pb y ep","1355/57 pb y ep"
NA,NA,"Av. Córdoba N° 3810/12 PB",NA,"4-168869","D1","av cordoba 3810/12 pb","^([a-z ]*)([0-9]+)","av cordoba /12 pb","3810/12 pb"
NA,NA,"Benito QUINQUELA MARTIN 1766/1770, planta baja, 1° y 2° piso",NA,"4-302500","D1","benito quinquela martin 1766/1770 planta baja 1 y 2 piso","^([a-z ]*)([0-9]+)","benito quinquela martin /1770 planta baja 1 y 2 piso","1766/1770 planta baja 1 y 2 piso"
NA,NA,"Bahía Blanca N° 451 PB",NA,"4-289024","D1","bahia blanca 451 pb","^([a-z ]*)([0-9]+)","bahia blanca  pb","451 pb"
NA,NA,"Av. Rivadavia Nº 3599, planta baja",NA,"4-302092","D1","av rivadavia no 3599 planta baja","^([a-z ]*)([0-9]+)","av rivadavia no  planta baja","3599 planta baja"
NA,NA,"Santo Domingo N° 2637 PB",NA,"4-302499","D1","santo domingo 2637 pb","^([a-z ]*)([0-9]+)","santo domingo  pb","2637 pb"
NA,NA,"Moreto N° 1757/59/63/67 PB. y PA. –unidad funcional Nº 1.,",NA,"4-303212","D1","moreto 1757/59/63/67 pb y pa -unidad funcional no 1","^([a-z ]*)([0-9]+)","moreto /59/63/67 pb y pa -unidad funcional no 1","1757/59/63/67 pb y pa -unidad funcional no 1"
NA,NA,"11 de Septiembre de 1888 Nº 2490 y Monroe Nº 1802 PB. –unidad funcional 4",NA,"4-314287","D1","11 de septiembre de 1888 no 2490 y monroe no 1802 pb -unidad funcional 4","^([a-z ]*)([0-9]+)","de septiembre de 1888 no 2490 y monroe no 1802 pb -unidad funcional 4","11 de septiembre de 1888 no 2490 y monroe no 1802 pb -unidad funcional 4"
NA,NA,"Av. Avellaneda Nº 3660 PB LOCAL 41",NA,"4-289025","D1","av avellaneda no 3660 pb local 41","^([a-z ]*)([0-9]+)","av avellaneda no  pb local 41","3660 pb local 41"
NA,NA,"Rojas Nº 2120 PB/EP/1º PISO",NA,"4-301541,4-301038","D1","rojas no 2120 pb/ep/1o piso","^([a-z ]*)([0-9]+)","rojas no  pb/ep/1o piso","2120 pb/ep/1o piso"
NA,NA,"Riobamba 451, 2° piso, “C”.,",NA,"4-266828","D1","riobamba 451 2 piso ""c""","^([a-z ]*)([0-9]+)","riobamba  2 piso ""c""","451 2 piso ""c"""
NA,NA,"Av. Álvarez Thomas 2602 PB y SS.,",NA,"4-302016","D1","av alvarez thomas 2602 pb y ss","^([a-z ]*)([0-9]+)","av alvarez thomas  pb y ss","2602 pb y ss"
NA,NA,"Av. Elcano 3364/80/98 – Gral Enrique Martínez 1305/43/61/85,ect",NA,"4-313752","D1","av elcano 3364/80/98 - gral enrique martinez 1305/43/61/85ect","^([a-z ]*)([0-9]+)","av elcano /80/98 - gral enrique martinez 1305/43/61/85ect","3364/80/98 - gral enrique martinez 1305/43/61/85ect"
NA,NA,"Cangallo N° 33 PB y EP.,",NA,"4-303869,4-303870","D1","cangallo 33 pb y ep","^([a-z ]*)([0-9]+)","cangallo  pb y ep","33 pb y ep"
NA,NA,"Billinghurst N° 952 PB/PA UF2.,",NA,"4-314033,4-314032","D1","billinghurst 952 pb/pa uf2","^([a-z ]*)([0-9]+)","billinghurst  pb/pa uf2","952 pb/pa uf2"
NA,NA,"Av. Corrientes 4602 PB y SS",NA,"4-287736","D1","av corrientes 4602 pb y ss","^([a-z ]*)([0-9]+)","av corrientes  pb y ss","4602 pb y ss"
NA,NA,"Fitz Roy Nº 1626 PB",NA,"4-301988","D1","fitz roy no 1626 pb","^([a-z ]*)([0-9]+)","fitz roy no  pb","1626 pb"
NA,NA,"Rodríguez Peña N° 431 – 3° D.,",NA,"4-287165,4-287164","D1","rodriguez pena 431 - 3 d","^([a-z ]*)([0-9]+)","rodriguez pena  - 3 d","431 - 3 d"
NA,NA,"Av. Chivilcoy N° 3856 PB y 1° piso",NA,"4-287167","D1","av chivilcoy 3856 pb y 1 piso","^([a-z ]*)([0-9]+)","av chivilcoy  pb y 1 piso","3856 pb y 1 piso"
NA,NA,"Av. Francisco Beiró N° 3436 PB",NA,"4-288535","D1","av francisco beiro 3436 pb","^([a-z ]*)([0-9]+)","av francisco beiro  pb","3436 pb"
NA,NA,"Jorge Luis Borges Nº 1891 PB",NA,"4-266831","D1","jorge luis borges no 1891 pb","^([a-z ]*)([0-9]+)","jorge luis borges no  pb","1891 pb"
NA,NA,"Campichuelo N° 472 PB.,",NA,"4-274809","D1","campichuelo 472 pb","^([a-z ]*)([0-9]+)","campichuelo  pb","472 pb"
NA,NA,"Soler Nº 5502/16 PB",NA,"4-303842","D1","soler no 5502/16 pb","^([a-z ]*)([0-9]+)","soler no /16 pb","5502/16 pb"
NA,NA,"San José 155 PB (UF 1",NA,"4-313976","D1","san jose 155 pb (uf 1","^([a-z ]*)([0-9]+)","san jose  pb (uf 1","155 pb (uf 1"
NA,NA,"México N° 918",NA,"4-273559","D1","mexico 918","^([a-z ]*)([0-9]+)","mexico","918"
NA,NA,"Ciudad de la Paz 428/24 PB.,",NA,"4-303843","D1","ciudad de la paz 428/24 pb","^([a-z ]*)([0-9]+)","ciudad de la paz /24 pb","428/24 pb"
NA,NA,"Yerbal Nº 854/56 PB., sótano, EP., 1º y 2º piso.,",NA,"4-302933,4-274623,4-302932","D1","yerbal no 854/56 pb sotano ep 1o y 2o piso","^([a-z ]*)([0-9]+)","yerbal no /56 pb sotano ep 1o y 2o piso","854/56 pb sotano ep 1o y 2o piso"
NA,NA,"Av. San Martín N° 5901",NA,"4-314126","D1","av san martin 5901","^([a-z ]*)([0-9]+)","av san martin","5901"
NA,NA,"Godoy Cruz N° 1752 PB y EP",NA,"4-303154","D1","godoy cruz 1752 pb y ep","^([a-z ]*)([0-9]+)","godoy cruz  pb y ep","1752 pb y ep"
NA,NA,"Av. Córdoba N° 4379 PB, 1° piso y EP.,",NA,"4-301782","D1","av cordoba 4379 pb 1 piso y ep","^([a-z ]*)([0-9]+)","av cordoba  pb 1 piso y ep","4379 pb 1 piso y ep"
NA,NA,"Tronador Nº 1067 PB",NA,"4-288485","D1","tronador no 1067 pb","^([a-z ]*)([0-9]+)","tronador no  pb","1067 pb"
NA,NA,"Goya N° 758/60 PB/1°/2°/3°/Azotea",NA,"4-313065,4-313064","D1","goya 758/60 pb/1/2/3/azotea","^([a-z ]*)([0-9]+)","goya /60 pb/1/2/3/azotea","758/60 pb/1/2/3/azotea"
NA,NA,"Av. Hipólito Yrigoyen 1480 PB (UF 3).,",NA,"4-313977","D1","av hipolito yrigoyen 1480 pb (uf 3)","^([a-z ]*)([0-9]+)","av hipolito yrigoyen  pb (uf 3)","1480 pb (uf 3)"
NA,NA,"José Hernández N° 2377 PB y PA (UF2).,",NA,"4-314401","D1","jose hernandez 2377 pb y pa (uf2)","^([a-z ]*)([0-9]+)","jose hernandez  pb y pa (uf2)","2377 pb y pa (uf2)"
NA,NA,"Av. Donato Álvarez N° 389 PB, UF 1.,",NA,"4-289242","D1","av donato alvarez 389 pb uf 1","^([a-z ]*)([0-9]+)","av donato alvarez  pb uf 1","389 pb uf 1"
NA,NA,"Moldes N° 1785 PB, EP, PA.,",NA,"4-314402","D1","moldes 1785 pb ep pa","^([a-z ]*)([0-9]+)","moldes  pb ep pa","1785 pb ep pa"
NA,NA,"AV. Cabildo Nº 2124 PB., EP. y 1º piso.,",NA,"4-314403","D1","av cabildo no 2124 pb ep y 1o piso","^([a-z ]*)([0-9]+)","av cabildo no  pb ep y 1o piso","2124 pb ep y 1o piso"
NA,NA,"Talcahuano N° 1097 3° piso “B”.,",NA,"4-274585","D1","talcahuano 1097 3 piso ""b""","^([a-z ]*)([0-9]+)","talcahuano  3 piso ""b""","1097 3 piso ""b"""
NA,NA,"Marcos Paz 2570, planta baja y entre piso, UF 6",NA,"4-313544,4-313543","D1","marcos paz 2570 planta baja y entre piso uf 6","^([a-z ]*)([0-9]+)","marcos paz  planta baja y entre piso uf 6","2570 planta baja y entre piso uf 6"
NA,NA,"Av. Santa Fe 4560, planta baja y planta alta.,",NA,"4-266832","D1","av santa fe 4560 planta baja y planta alta","^([a-z ]*)([0-9]+)","av santa fe  planta baja y planta alta","4560 planta baja y planta alta"
NA,NA,"Cerrito Nº 1058 SS./PB",NA,"4-288511","D1","cerrito no 1058 ss/pb","^([a-z ]*)([0-9]+)","cerrito no  ss/pb","1058 ss/pb"
NA,NA,"Carlos Pellegrini 885/7, Piso 10 (UF 12).,",NA,"4-313978","D1","carlos pellegrini 885/7 piso 10 (uf 12)","^([a-z ]*)([0-9]+)","carlos pellegrini /7 piso 10 (uf 12)","885/7 piso 10 (uf 12)"
NA,NA,"Bogotá 3168/70, PB, 1° a 3° piso",NA,"4-274625","D1","bogota 3168/70 pb 1 a 3 piso","^([a-z ]*)([0-9]+)","bogota /70 pb 1 a 3 piso","3168/70 pb 1 a 3 piso"
NA,NA,"Ciudad de la Paz Nº 557 PB/SS.,",NA,"4-314127","D1","ciudad de la paz no 557 pb/ss","^([a-z ]*)([0-9]+)","ciudad de la paz no  pb/ss","557 pb/ss"
NA,NA,"Martínez Castro 828, planta baja y planta alta.,",NA,"4-302734,4-302735,4-302736","D1","martinez castro 828 planta baja y planta alta","^([a-z ]*)([0-9]+)","martinez castro  planta baja y planta alta","828 planta baja y planta alta"
NA,NA,"Ventura Bosh 6996 PB.,",NA,"4-48200","D1","ventura bosh 6996 pb","^([a-z ]*)([0-9]+)","ventura bosh  pb","6996 pb"
NA,NA,"O’Higgins Nº 4771 PB., 1º a 4º piso",NA,"4-314110","D1","ohiggins no 4771 pb 1o a 4o piso","^([a-z ]*)([0-9]+)","ohiggins no  pb 1o a 4o piso","4771 pb 1o a 4o piso"
NA,NA,"Dr. Enrique Finochietto N° 564 1° Piso",NA,"4-254523","D1","dr enrique finochietto 564 1 piso","^([a-z ]*)([0-9]+)","dr enrique finochietto  1 piso","564 1 piso"
NA,NA,"Salta Nº 1727 PB. –locales 10 y 12-.,",NA,"4-303408","D1","salta no 1727 pb -locales 10 y 12-","^([a-z ]*)([0-9]+)","salta no  pb -locales 10 y 12-","1727 pb -locales 10 y 12-"
NA,NA,"Av. Intendente Francisco Rabanal Nº 1428/30/34 PB/EP.,",NA,"4-313327,4-313328,4-301824","D1","av intendente francisco rabanal no 1428/30/34 pb/ep","^([a-z ]*)([0-9]+)","av intendente francisco rabanal no /30/34 pb/ep","1428/30/34 pb/ep"
NA,NA,"Azul 92/94, planta baja, 1° y 2 piso",NA,"4-303053,4-303054,4-303055","D1","azul 92/94 planta baja 1 y 2 piso","^([a-z ]*)([0-9]+)","azul /94 planta baja 1 y 2 piso","92/94 planta baja 1 y 2 piso"
NA,NA,"José León Suárez 502 PB, Esquina Tuyuti N° 7184 PB (UF 2).,",NA,"4-313981","D1","jose leon suarez 502 pb esquina tuyuti 7184 pb (uf 2)","^([a-z ]*)([0-9]+)","jose leon suarez  pb esquina tuyuti 7184 pb (uf 2)","502 pb esquina tuyuti 7184 pb (uf 2)"
NA,NA,"Bueras Nº 123/125 PB/1º A 3º PISO/AZOTEA",NA,"4-302912,4-303147","D1","bueras no 123/125 pb/1o a 3o piso/azotea","^([a-z ]*)([0-9]+)","bueras no /125 pb/1o a 3o piso/azotea","123/125 pb/1o a 3o piso/azotea"
NA,NA,"Charcas Nº 4275 PB",NA,"4-301544","D1","charcas no 4275 pb","^([a-z ]*)([0-9]+)","charcas no  pb","4275 pb"
NA,NA,"Charcas Nº 3647 PB/1º PISO.,",NA,"4-288512","D1","charcas no 3647 pb/1o piso","^([a-z ]*)([0-9]+)","charcas no  pb/1o piso","3647 pb/1o piso"
NA,NA,"Bynnon N° 6947 PB., 1º, 2º 3º piso y azotea",NA,"4-303149,4-302913,4-302914","D1","bynnon 6947 pb 1o 2o 3o piso y azotea","^([a-z ]*)([0-9]+)","bynnon  pb 1o 2o 3o piso y azotea","6947 pb 1o 2o 3o piso y azotea"
